player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr,pa,pm
2,2016,3,200,1,0,3,1354,73,1274,0,1433,162,162,7,106,0,0,0,0,0,177,169,6,218,210,32,26,24,15,8,4,14,2,3,0,0.0,0.0,1.7085,299,257
2,2016,3,200,1,0,4,2,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.03,1,1
2,2017,3,200,1,0,3,1325,60,1256,0,1428,162,162,9,100,0,0,0,0,1,165,158,9,216,211,41,35,18,12,7,2,13,1,6,0,0.0,0.0,1.0555,301,261
2,2017,3,200,1,0,4,1,1,0,0,8,6,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0.0,0.0,-0.5714,4,1
2,2018,3,200,1,0,3,1363,63,1291,0,1442,162,162,9,99,0,0,0,0,0,156,151,8,223,214,23,19,16,11,13,1,10,0,1,0,0.0,0.0,-1.8948,286,245
2,2018,3,200,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
2,2019,3,200,1,0,3,1354,83,1259,0,1429,162,162,12,108,1,0,0,0,1,175,170,10,225,213,39,35,23,16,13,5,6,0,1,0,0.0,0.0,-1.4812,307,269
2,2019,3,200,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
2,2020,3,200,1,0,3,1246,59,1177,0,1429,162,162,10,93,1,0,0,0,1,168,163,10,218,211,38,35,17,10,9,1,8,2,4,0,0.0,0.0,-0.2266,294,259
2,2020,3,200,1,0,6,2,2,0,0,2,1,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0621,2,2
2,2020,3,200,1,0,4,2,1,1,0,5,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0.0,0.0,0.1232,3,2
2,2021,3,200,1,0,3,1294,65,1227,0,1430,162,162,2,111,0,0,0,0,2,150,144,2,193,188,30,27,16,11,11,3,11,2,6,0,0.0,0.0,2.9268,267,231
2,2021,3,200,1,0,4,2,1,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0905,1,1
2,2021,3,200,1,0,6,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0299,1,1
2,2021,3,200,1,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
2,2022,3,200,1,0,3,1340,85,1245,0,1445,162,162,10,116,0,0,0,0,1,205,197,10,261,251,36,30,16,10,20,5,7,1,2,0,0.0,0.0,-1.7674,342,297
2,2022,3,200,1,0,4,1,1,0,0,7,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0299,2,1
2,2023,3,200,1,0,3,1335,70,1255,0,1442,162,162,10,103,0,0,0,0,1,164,152,9,211,202,34,31,14,11,16,8,9,0,2,0,0.0,0.0,2.6921,286,252
2,2023,3,200,1,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
2,2023,3,200,1,0,4,1,0,1,0,6,5,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,-0.3451,2,1
2,2024,3,200,1,0,3,1297,62,1231,0,1432,162,162,4,91,0,0,0,0,1,167,163,3,214,211,24,17,19,8,17,9,6,2,4,0,0.0,0.0,1.6327,284,247
2,2024,3,200,1,0,4,1,1,0,0,3,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.1493,1,1
2,2024,3,200,1,0,6,2,1,1,0,3,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,-0.0732,1,0
2,2025,3,200,1,0,3,1387,72,1303,0,1436,162,162,12,116,0,0,0,0,2,168,162,10,224,215,34,25,12,10,10,1,9,1,2,0,0.0,0.0,-2.1327,291,252
2,2025,3,200,1,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
2,2025,3,200,1,0,6,2,2,0,0,4,2,0,0,0,0,0,0,0,0,2,3,0,2,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0,-0.2809,3,2
3,2016,5,200,1,0,3,712,30,680,0,794,96,96,2,81,0,0,0,0,0,85,84,2,115,113,14,13,9,7,3,1,5,0,0,0,0.0,0.0,1.3871,146,134
3,2017,5,200,1,0,3,668,37,628,0,793,96,96,3,55,0,0,0,0,1,91,87,3,106,102,23,21,9,6,5,1,3,0,2,0,0.0,0.0,0.8533,148,130
3,2018,5,200,1,0,3,670,44,620,0,776,96,96,6,49,0,0,0,0,0,101,97,6,110,106,20,18,8,5,9,6,3,0,1,0,0.0,0.0,0.6827,151,135
3,2018,5,200,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
3,2019,5,200,1,0,3,667,33,629,0,792,96,96,5,57,0,0,0,0,0,84,80,5,106,102,13,12,12,8,3,1,3,0,1,0,0.0,0.0,0.0595,138,123
3,2020,5,200,1,0,3,649,40,605,0,793,96,96,4,53,0,0,0,0,0,90,83,3,113,109,21,20,9,4,6,2,2,1,1,0,0.0,0.0,1.8898,152,136
3,2020,5,200,1,0,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.025,1,1
3,2021,5,200,1,0,3,654,26,620,0,778,96,96,8,50,0,0,0,0,2,84,81,8,111,103,16,14,13,6,6,3,4,0,1,0,0.0,0.0,-2.7785,151,126
3,2021,5,200,1,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
3,2022,5,200,1,0,3,646,32,611,0,786,96,96,3,57,0,0,0,0,2,76,73,3,96,93,16,15,8,7,4,1,3,0,0,0,0.0,0.0,0.8566,127,116
3,2022,5,200,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
3,2023,5,200,1,0,3,639,32,607,0,782,96,96,0,54,0,0,0,0,2,78,74,0,102,101,15,14,9,6,4,4,1,0,3,0,0.0,0.0,3.3846,134,125
3,2023,5,200,1,0,6,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0298,1,1
3,2024,5,200,1,0,3,673,38,634,0,810,97,97,1,60,0,0,0,0,0,94,91,1,97,94,24,23,12,7,5,3,7,0,1,0,0.0,0.0,1.9884,146,127
3,2024,5,200,1,0,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
3,2025,5,200,1,0,3,690,30,656,0,793,96,96,4,61,0,0,0,0,0,84,80,4,108,101,14,11,12,8,9,6,6,0,2,0,0.0,0.0,-0.2221,151,126
7,2016,8,200,1,0,3,1184,65,1110,0,1227,140,140,9,105,0,0,0,0,1,160,149,8,204,196,28,22,16,11,17,5,11,2,5,0,0.0,0.0,1.2206,281,236
7,2016,8,200,1,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
7,2016,8,200,1,0,4,4,2,1,0,8,7,0,1,0,0,0,0,0,2,3,3,1,2,1,1,1,1,1,1,0,1,0,0,0,0.0,0.0,-0.3076,6,3
7,2016,8,200,1,0,6,1,1,0,0,4,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0302,2,1
7,2017,8,200,1,0,3,1151,69,1076,0,1219,141,140,6,99,0,0,0,0,0,173,165,6,220,213,30,27,17,8,11,6,8,0,1,0,0.0,0.0,1.6436,287,254
7,2017,8,200,1,0,6,2,1,1,0,2,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0632,2,2
7,2017,8,200,1,0,5,1,0,1,0,3,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0293,1,1
7,2017,8,200,1,0,4,12,3,9,0,12,8,0,0,3,0,0,0,0,0,1,1,0,3,3,1,1,1,0,0,0,3,0,0,0,0.0,0.0,-0.0188,8,4
7,2018,8,200,1,0,3,1127,57,1059,0,1236,140,140,11,95,0,0,0,0,1,154,143,10,189,179,31,29,10,7,11,4,6,0,3,0,0.0,0.0,0.6544,250,219
