ID,Name,ORG,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,IP Clean
66008,J.D. Henry,Portland Loggers,27,0,2,4,35.1,173,144,40,27,7,0,6,28,24,25,0,36,2,0,2,1,0,0,4,20,3,674,27,39,1,1,35.333333333333336
55709,Chris Stephenson,Cleveland Guardians,33,0,1,4,39.1,172,149,36,19,10,0,7,25,25,19,1,40,2,0,2,1,1,0,5,21,9,645,35,37,4,1,39.333333333333336
43159,Caden Dana,Cleveland Guardians,24,0,2,0,41.0,171,154,37,18,10,0,9,23,22,9,1,32,5,0,3,1,0,0,4,15,6,571,46,40,4,1,41.0
64243,Danny Marascio,Milwaukee Brewers,34,0,1,1,41.1,169,156,38,24,6,0,8,17,17,11,0,41,1,0,1,1,0,0,4,22,5,693,32,46,3,1,41.333333333333336
67015,Jim King,New York Mets,37,0,3,5,38.0,168,149,34,20,10,0,4,20,18,18,1,34,1,0,0,3,0,0,1,29,5,634,31,48,6,0,38.0
56827,Kevin Kyros,Kansas City Royals,24,0,1,2,36.2,165,141,34,22,8,0,4,18,18,21,0,33,3,0,0,1,0,0,2,25,7,625,35,39,4,0,36.66666666666668
49190,Steve Presley,Seattle Mariners,25,0,1,1,41.2,162,145,27,18,5,0,4,12,11,13,0,41,1,0,3,2,1,0,3,20,3,611,41,38,1,0,41.66666666666668
61665,Edwin Alcantar,Atlanta Braves,28,0,1,4,35.1,160,146,46,27,10,3,6,24,23,11,0,29,0,2,1,0,1,0,0,24,5,601,29,44,4,1,35.333333333333336
60374,C.J. Rossi,Atlanta Braves,19,0,6,0,37.0,159,142,37,24,8,1,4,16,16,15,0,29,2,0,0,1,0,0,4,16,5,612,25,51,1,1,37.0
61121,Tomas Carillo,Nashville Stars,40,0,2,1,36.0,157,135,28,19,5,0,4,16,13,19,1,47,2,0,1,1,0,0,2,27,10,663,24,35,2,0,36.0
60386,Andy Morano,Cleveland Guardians,20,0,1,4,34.1,157,134,34,21,7,2,4,19,19,19,0,34,4,0,0,1,0,0,5,14,4,608,38,26,2,0,34.333333333333336
53934,Josh Wood,Texas Rangers,17,0,4,0,36.2,157,143,35,28,5,0,2,19,17,12,0,38,0,0,2,2,0,0,1,12,4,593,29,41,4,0,36.66666666666668
57716,Josh Oldham,Chicago Cubs,17,0,4,1,38.2,155,146,33,20,9,2,2,11,11,7,0,37,1,0,1,0,0,0,2,10,4,581,31,45,3,0,38.66666666666668
57584,Aaron Jackson,-,17,0,0,3,29.0,155,129,42,29,6,0,7,30,26,21,0,27,5,0,0,4,0,0,1,16,8,582,24,35,2,0,29.0
59246,Mike Eckstrom,Chicago White Sox,38,0,1,5,37.2,154,138,31,25,2,1,3,13,12,14,2,42,0,0,2,2,0,0,6,28,7,608,35,29,0,1,37.66666666666668
66006,Lao-sheng Quian,Los Angeles Dodgers,39,0,4,3,40.0,154,143,26,16,7,0,3,11,11,9,2,51,1,1,0,1,0,0,4,4,2,580,27,38,1,0,40.0
53801,Nate O'Brien,St. Louis Cardinals,26,0,0,5,32.1,152,136,40,24,9,2,5,26,21,15,1,25,1,0,0,3,0,0,4,24,13,601,30,37,2,1,32.333333333333336
62082,Dylan Tull,Minnesota Twins,27,0,1,2,33.0,151,128,36,24,7,0,5,21,21,19,1,42,2,0,2,2,0,0,2,24,6,573,25,27,3,2,33.0
56813,Ethan Saladin,St. Louis Cardinals,30,0,1,2,33.0,150,132,40,25,8,3,4,22,21,14,3,29,1,1,2,3,0,0,3,18,8,583,33,31,2,1,33.0
60623,Steve MacDonald,Nashville Stars,35,0,2,3,36.2,149,139,34,22,5,1,6,14,14,7,1,49,1,0,2,4,0,0,5,19,4,603,26,30,0,0,36.66666666666668
68449,Joe Murdock,Los Angeles Dodgers,27,0,1,4,37.0,149,137,28,17,6,0,5,15,15,11,5,35,1,0,0,0,0,0,3,24,4,559,35,38,1,0,37.0
55555,Jim Adams,-,20,0,3,3,37.2,149,138,28,18,4,0,6,17,16,10,0,36,1,0,0,1,0,0,3,8,0,577,31,42,2,1,37.66666666666668
60312,Ron Ashcroft,Baltimore Orioles,22,0,3,2,33.0,148,128,29,22,4,0,3,16,15,18,4,37,1,0,1,1,0,0,1,17,6,558,26,34,1,1,33.0
57883,Victor Rojas,Atlanta Braves,20,0,3,1,35.0,145,136,35,25,1,1,8,15,12,8,0,31,1,0,0,3,0,0,5,12,2,549,27,40,4,1,35.0
60487,Sam Goodnight,Houston Astros,22,0,1,1,32.0,143,122,34,17,10,1,6,24,20,18,0,30,0,1,2,2,0,0,6,23,9,566,29,30,2,1,32.0
60970,Toby Rice,Tampa Bay Rays,19,0,2,2,32.2,143,133,36,20,7,0,9,22,20,9,0,32,0,0,1,2,0,0,2,17,6,530,30,33,1,0,32.66666666666668
59044,Kevin Rojas,San Diego Padres,33,0,3,1,31.1,143,123,39,22,8,2,7,17,17,16,2,28,3,1,0,0,0,0,3,26,5,540,38,19,2,1,31.33333333333334
61258,Mike Hall,Nashville Stars,35,0,2,3,33.2,142,133,34,17,8,2,7,19,17,7,2,39,1,0,1,0,1,0,3,21,5,542,25,34,1,0,33.66666666666668
61356,Julian Green,Houston Astros,22,0,1,1,31.2,141,125,37,28,5,0,4,15,15,13,0,27,1,0,2,2,0,0,4,13,7,542,28,35,2,0,31.666666666666664
51835,Isiah Armstrong,Portland Loggers,19,0,2,1,31.0,139,123,41,26,10,1,4,20,19,12,0,21,0,0,4,0,0,0,8,18,6,486,32,31,3,0,31.0
58164,Josh Stelly,Tampa Bay Rays,25,0,1,2,36.0,136,118,14,8,1,1,4,7,7,14,0,33,2,0,2,2,0,0,2,15,3,532,29,43,2,0,36.0
62109,Branden Sonier,-,22,0,3,3,32.2,135,113,18,13,2,0,3,11,9,16,1,29,5,0,1,1,0,0,3,12,5,512,35,30,6,0,32.66666666666668
44926,Mike Price,Chicago White Sox,20,0,4,0,31.2,134,123,29,16,6,0,7,20,18,7,0,29,3,0,1,3,0,0,3,15,1,517,28,35,1,0,31.666666666666664
20427,Eric Dodson,Cleveland Guardians,22,0,0,0,32.2,133,121,35,23,7,0,5,11,11,8,0,24,0,1,3,0,1,0,6,23,10,489,34,32,3,0,32.66666666666668
59107,Mike Compton,Kansas City Royals,15,0,0,1,27.1,132,115,40,27,9,1,3,18,18,16,1,17,1,0,0,0,0,0,4,11,4,488,22,36,1,1,27.33333333333334
63615,Andy Mains,New York Mets,26,0,1,2,28.2,132,117,30,18,7,0,5,12,11,12,1,33,3,0,0,2,0,0,1,13,3,569,21,30,1,0,28.666666666666664
61391,Cesar Perez,Arizona Diamondbacks,15,0,2,0,32.0,131,120,31,18,9,0,4,17,15,11,1,35,0,0,0,1,1,0,5,7,1,483,30,23,5,0,32.0
52048,Alex Molina,St. Louis Cardinals,22,0,1,3,30.1,130,106,22,10,8,0,4,12,12,16,1,32,4,0,4,1,0,0,3,23,5,508,25,30,2,1,30.33333333333334
